,counts,fractions
0.8,25,1.0
0.82,25,1.0
0.84,25,1.0
0.86,27,1.0
0.88,27,1.0
0.9,27,1.0
0.92,28,1.0
0.94,28,1.0
0.96,28,1.0
0.98,29,1.0
0.99,30,1.0
0.999,31,1.0
