capital - primary,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,0.99,0.999
Economic,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Human,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Natural,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
Social,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,10.0
Total,25.0,25.0,25.0,27.0,27.0,27.0,28.0,28.0,28.0,29.0,30.0,31.0
