,counts,fractions
0.8,0,0.0
0.82,0,0.0
0.84,0,0.0
0.86,0,0.0
0.88,2,0.5
0.9,2,0.5
0.92,2,0.5
0.94,2,0.2857142857142857
0.96,5,0.45454545454545453
0.98,2,0.15384615384615385
0.99,5,0.2777777777777778
0.999,7,0.175
