,counts,fractions
0.8,17,0.23943661971830985
0.82,19,0.24358974358974358
0.84,20,0.23809523809523808
0.86,23,0.25842696629213485
0.88,25,0.26595744680851063
0.9,26,0.2653061224489796
0.92,29,0.2761904761904762
0.94,28,0.2616822429906542
0.96,28,0.25925925925925924
0.98,29,0.2636363636363636
0.99,30,0.2631578947368421
0.999,31,0.26956521739130435
