capital - primary,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,0.99,0.999
Human,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0
Natural,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,9.0
Economic,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Social,,,,,,,,,,1.0,1.0,4.0
Total,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,6.0,9.0,18.0
