Year,In percent,95% Confidence interval (+/-)
2007,8.407,1.762
2008,9.332,1.808
2009,10.947,2.047
2010,9.686,2.042
2011,10.265,2.042
2012,11.999,2.273
2013,13.052,2.51
2014,12.549,1.77
2015,6.605,1.289
2016,8.17,1.524
2017,6.20904396729916,1.34283314348176
2018,7.03732313716304,1.62436115067382
2019,7.55475592643326,1.53072628337
2020,6.14047060526858,1.28197911001791
2021,5.13492225686205,1.22465983571961
2022,7.45407607322251,1.56180766072629
