Year,Women,95% Confidence interval (+/-),Men,95% Confidence interval (+/-)
2016,21.934067,2.1673682838,21.006257,2.1615849674
2018,24.89963,2.1554657178,23.631939,2.2728960473
2020,27.985862,2.2182288883,28.496632,2.2863777733
2022,27.710007,2.3494076077,25.449723,2.4017603966
