Year,t CO2 eq
2000,2.03358184898095
2001,2.14919997622477
2002,2.00591009643192
2003,1.96529570956797
2004,1.87136143998406
2005,1.87418858047504
2006,1.91278480937772
2007,1.85159665968455
2008,1.73733471156029
2009,1.77927407207105
2010,1.79253945067687
2011,1.85940740787406
2012,1.82474705969815
2013,1.79740508113135
2014,1.79386497870236
2015,1.82345914715111
2016,1.85092067190417
2017,1.77718693582803
2018,1.70633740200452
2019,1.71130505962067
2020,1.7731730112315
2021,1.69444054678511
