Year,Data
1990,114
1991,116
1992,116
1993,117
1994,120
1995,122
1996,123
1997,125
1998,126
1999,128
2000,129
2001,129
2002,130
2003,133
2004,135
2005,136
2006,138
2007,141
2008,144
2009,146
2010,147
2011,149
2012,155
2013,156
2014,161
2015,162
2016,165
2017,168
2018,169
2019,172
2020,174
