Year,In percent,95% Confidence interval (+/-)
2007,4.793,0.645
2008,4.7,0.658
2009,3.805,0.543
2010,3.545,0.495
2011,3.631,0.557
2012,3.494,0.534
2013,2.651,0.501
2014,3.374,0.451
2015,3.895,0.572
2016,3.779,0.588
2017,4.321,0.516
2018,3.668,0.562
2019,4.219,0.662
2020,4.186,0.697
2021,4.164059,0.525678
2022,3.795551,0.496336
