Year,t CO2 eq
2000,17.1383563908278
2001,18.1261845003589
2002,16.0312660434092
2003,15.3520584426675
2004,15.2130817481116
2005,15.905466238192
2006,16.3914303153298
2007,15.501223396824
2008,14.6358572706566
2009,14.2371669610547
2010,14.9824083749745
2011,15.4788199155185
2012,15.4523413608229
2013,15.2022463827749
2014,14.1285751904317
2015,14.056954715667
2016,14.3869647284634
2017,13.1652714463886
2018,13.5414809384421
2019,13.5990811176873
2020,12.3834607166997
2021,12.7898844251115
