Year,In percent
1990,25.987855922619
1991,28.0001031258322
1992,32.4028515510317
1993,36.8805234372897
1994,39.0634685760508
1995,41.1853048272544
1996,42.9749954264745
1997,45.103513269457
1998,47.1968898197667
1999,44.7361202250409
2000,43.6522092459284
2001,42.4760580202466
2002,46.0045976484175
2003,46.4062446384837
2004,45.7297119446736
2005,43.4023834891027
2006,38.2782559874223
2007,34.263841780208
2008,32.1026286041321
2009,30.6579165628915
2010,29.2075093466945
2011,28.5161762180141
2012,29.2124351269932
2013,29.1419593873875
2014,29.3153865037866
2015,28.8093004139174
2016,27.7063881121135
2017,28.058526398631
2018,26.1373615903882
2019,25.5540247256157
2020,28.2113794507855
2021,26.9946217184658
2022,25.8963595479682
2023,25.9629043043254
