Year,In percent
2010,36.964
2011,37.2891
2012,37.7939
2013,38.6134
2014,39.4311
2015,39.8874
2016,40.689
2017,41.1397
2018,40.8661
2019,40.7259
2020,40.5739
2021,40.8232
2022,41.8344
