Year,In percent
1991,3.1928748749
1992,4.5335187597
1993,6.3849365839
1994,5.9768431254
1995,5.450402685
1996,4.6513370591
1997,5.9948614669
1998,5.772108983
1999,5.6498804347
2000,4.8062935686
2001,5.6254451995
2002,5.585559608
2003,8.4975514109
2004,7.7088621715
2005,8.7614741444
2006,7.7029882
2007,7.0851621902
2008,7.0187235209
2009,8.4463962822
2010,7.5237255409
2011,6.1374139204
2012,6.1974666634
2013,7.4846276963
2014,7.8109684732
2015,6.9077943621
2016,6.905961244
2017,6.858416399
2018,6.3883864321
2019,6.1782250944
2020,8.3984414406
2021,7.6723763042
2022,6.2925528626
2023,6.3621176695
2024,5.9086016846
