Year,In percent
1980,19.138418079096
1981,20.6288097747317
1982,21.7102187984666
1983,22.4058794540067
1984,22.4703005658166
1985,23.4103690035601
1986,23.7895212272801
1987,24.8993611062136
1988,25.9854345503075
1989,26.6435897574758
1990,28.5453167795838
1991,30.2866670345981
1992,31.6641121484003
1993,32.8933855646482
1994,36.5616157231797
1995,38.7067116150781
1996,41.3360058561157
1997,42.2155438800136
1998,43.7274781240571
1999,42.9504909000547
2000,45.2526200531832
2001,46.5962961610873
2002,46.7190912991668
2003,47.5151046646459
2004,48.7375341324287
2005,50.6073474404687
2006,50.0939022628475
2007,50.9576524818996
2008,49.9421504604526
2009,51.2935142553447
2010,50.430544841948
2011,50.1440435372162
2012,49.9958419481477
2013,50.9839362104946
2014,53.5442181616798
2015,52.7028809919849
2016,52.4762826948324
2017,52.4703573461982
2018,52.4573009211814
2019,52.9752292909733
2020,52.7920239501799
2021,52.2334918214119
2022,52.1902504810014
