Year,In percent
2000,7.71550607940852
2001,8.77246955604155
2002,9.59478218352506
2003,10.223481035064
2004,10.7611807307182
2005,10.9956388134059
2006,11.0604812368619
2007,11.0012977492139
2008,10.7866746098439
2009,10.6173409560939
2010,10.6027822769225
2011,11.0459703785288
2012,11.5874301400381
2013,12.2046933429183
2014,12.7439703906665
2015,12.9213382524727
2016,13.4052761427901
2017,14.3797647131982
2018,15.40899454703
2019,16.2883910887755
2020,16.9866833494742
2021,17.4121997157066
2022,17.882192095952
2023,18.2342932327457
