Year,Index 1990 = 100
1990,100
1991,91.67
1992,96.58
1993,92.61
1994,91.23
1995,88.14
1996,84.82
1997,78.76
1998,77.19
1999,76.95
2000,75.94
2001,70.4
2002,67.91
2003,69.64
2004,72.83
2005,72.19
2006,72.5
2007,69.86
2008,69.48
2009,64.13
2010,68.01
2011,73.45
2012,76.32
2013,75.16
2014,77.03
2015,74.83
2016,78.51
2017,79.18
2018,74.87
2019,80.7
2020,92.53
2021,94.93
2022,91.71
2023,102.59
