Year,Cantonal parliaments,National Council
1971,,5
1975,5.96252129471891,7.5
1979,8.24707846410685,10.5
1983,9.80653769179453,11
1987,11.8078719146097,14.5
1991,15.1949350216594,17.5
1995,21.9552886219553,21.5
1999,24.1720723796518,23.5
2003,24.181446111869,26
2007,26.4791818845873,29.5
2011,25.3450920245399,29
2015,25.9103104637792,32
2019,29.2065925642008,42
2023,33.5003855050116,38.5
