Year,Thousand tonnes
1977,67.03876025948637
1978,75.6313922746586
1979,71.53877223996575
1980,70.74289662867646
1981,69.12960717972297
1983,61.393459762416335
1984,65.25938830758378
1985,62.29080184291814
1986,82.94304031423884
1987,99.08168851803359
1988,89.31301764907863
1989,59.02079092991298
1990,69.78863655096175
1991,68.77710300000001
1992,80.42733846646831
1993,74.9919473901099
1994,87.03961397100787
1995,75.44819179999999
1996,55.538828
1997,51.49289800000002
1998,51.98820950000001
1999,73.29031932631007
2000,60.3440391
2001,67.2328027
2002,60.77716169999998
2003,35.0453833
2004,47.64191889999999
2005,45.48839523
2006,58.94404657000002
2007,55.033303790000005
2008,47.11239020000001
2009,44.142503779999984
2010,48.623184310000006
2011,37.42371642
2012,50.941738539999996
2013,57.14794199999999
2014,47.59037178
2015,40.75708699999999
2016,50.6862472
2017,40.8776912
2018,42.739034
