Year,Women,95% Confidence interval (+/-),Men,95% Confidence interval (+/-)
1992,21.954,1.0480845,39.27,1.3553245
1997,28.177,1.1987505,42.343,1.449049
2002,29.297,1.098285,45.605,1.3259055
2007,28.676,1.119815,46.692,1.3604245
2012,31.98,1.1171695,50.558,1.2453955
2017,32.999,1.0088125,50.993,1.15248
2022,33.8,1.0509075,52.3,1.227556
