Year,In percent
2010,8.1277258
2011,7.956084
2012,7.7371392
2013,7.9792415
2014,7.6808046
2015,7.3387447
2016,7.5230317
2017,7.1910507
2018,6.5735949
2019,6.2444657
2020,6.2710408
2023,7.7096285
