Year,Women,95% Confidence interval (+/-),Men,95% Confidence interval (+/-)
1992,24.075,1.048,36.55,1.32
1997,27.759,1.177,39.096,1.424
2002,25.454,1.064,36,1.3
2007,23.617,1.08,32.334,1.284
2012,24.183,1.004,32.368,1.189
2017,23.294,0.914,31.047,1.08
2022,20.805,0.927,27.137,1.106
