Year,In percent,95% Confidence interval (+/-)
2010,25.1212,0.3134
2011,24.5402,0.2995
2012,24.3949,0.2938
2013,24.6428,0.3046
2014,25.799,0.3255
2015,25.954,0.3354
2016,26.3999,0.3439
2017,26.1009,0.3332
2018,26.4019,0.3347
2019,26.7384,0.3367
2020,22.0265,0.3154
2022,16.4528,0.2509
2023,21.6677,0.2797
