Year,Women,95% Confidence interval (+/-),Men,95% Confidence interval (+/-)
2011,83.7542,1.6854092,75.0229,1.98885515
2015,85.0267,1.9913,75.2202,2.4226
2019,91.5737,1.465,83.7953,1.9448
2023,90.0197,1.6062,81.1235,2.0676
