Year,Petroleum products,Electricity,Gas,Rest¹
1980,70.0969511234587,18.1743974566441,4.3491958928239,7.37945552707328
1981,67.7012313015162,18.9419820029365,4.85106630420561,8.50572039134164
1982,66.6904496469714,19.6551467855816,5.32590115198811,8.32850241545894
1983,66.5735985533454,19.774321880651,5.7750452079566,7.87703435804702
1984,65.3356625904667,19.7972991708954,6.2959265729418,8.57111166569614
1985,64.5546586400328,20.3529894650431,6.52072786974962,8.57162402517444
1986,64.9662144044618,20.4389446023489,6.56673995817022,8.02810103501904
1987,64.2229515138683,20.7667266567859,6.98973110311243,8.02059072623333
1988,64.45261534812,21.0308517508138,7.09023577010767,7.4262971309585
1989,63.3922595377771,21.4982217147657,7.72077640852002,7.38874233893723
1990,62.502830687165,21.0955388370279,8.07186171149636,8.33102684749516
1991,62.3125261834939,20.5051170028129,8.61930696032078,8.56424681309474
1992,62.4557303156414,20.5482882388715,9.05784572089529,7.93813572459188
1993,61.2224866880966,20.8647216155866,9.80664000196305,8.10492479081295
1994,61.0773852167465,21.2196624058922,9.88776189937534,7.815190477986
1995,60.3083533734543,21.0427373381023,10.5714181081312,8.07749118031226
1996,59.8521023613608,20.8735725258106,11.063743644093,8.21058146873549
1997,60.3113926508422,21.2368331634387,10.813795446823,7.63676520557255
1998,60.6043820052565,21.053189859394,10.8501184485014,7.49348827890202
1999,60.2223522527794,21.5763604447045,10.919836161498,7.28028086600351
2000,59.1891860012503,22.2389978650373,11.0404699276944,7.531346206018
2001,58.8778498822719,22.2247745936944,11.1893412967323,7.70688566013898
2002,57.8786333503315,23.0660673837506,11.2946645636422,7.76063470227577
2003,57.3389235704937,22.9832871984341,11.621361809569,8.0552692231964
2004,56.6554713017786,23.3394503883753,11.9755779462853,8.02950036356082
2005,56.1109910237887,23.4803581383178,12.148033538493,8.25947963002992
2006,55.7852465375225,23.7319460606475,11.9458324776964,8.5381157733817
2007,55.0860169690151,24.2300660947827,12.0083907561056,8.67552618009656
2008,54.8455443982374,23.8270728381287,12.3023520528338,9.02503071080006
2009,54.8262503747089,23.8637673807273,12.0829201927733,9.22706205179053
2010,53.6068813974802,23.7657763104137,12.830847034661,9.79649525744509
2011,52.9602537698554,24.9698174845537,12.3653623085482,9.70456643704282
2012,52.6028710317913,24.2257571262295,13.074833968551,10.0965378734281
2013,52.1193704223157,23.7716779091253,13.4720274271466,10.6369242414123
2014,51.392191177358,24.9689216100416,12.9575764890471,10.6825176513186
2015,50.4493153290224,24.9251141118296,13.450931913275,11.1758273107646
2016,49.9626595719853,24.4649816798525,13.7074377465052,11.864921001657
2017,49.0167798220002,24.6877968128892,13.969113870616,12.3263094944947
2018,49.1652474273789,24.8902588212718,13.4975653049965,12.4469284463528
2019,48.597069859707,24.6062474606247,13.7950813795081,13.0016013001601
2020,43.7737007958126,26.7812316402286,15.1124285637985,14.3326390001602
2021,43.3294809306065,26.2813426460982,15.401236118788,14.9879403045073
2022,45.3558267778271,26.8287902150903,13.3013616287275,14.5140213783551
2023,46.4616587399831,26.3000846960714,12.330444980129,14.9078115838165
