Year,CHF millions
2000,2875.8
2001,3069.9
2002,3178.3
2003,3688.9
2004,3899.9
2005,4138.4
2006,4639.3
2007,4953.5
2008,5074.7
2009,5351.2
2010,5604.749866953
2011,6058.34748122699
2012,6446.258050116
2013,6592.76681669929
2014,6778.486917469
2015,6968.13111731504
2016,7109.7704355678
2017,7226.60939163965
2018,7269.34670117692
2019,7495.70913428274
2020,7048.24233182467
2021,7290.71480055222
2022,7778.95299831019
2023,8271.16713175073
