Year,Women,Men
2009,706,361
2010,597,339
2011,593,343
2012,612,406
2013,621,349
2014,587,364
2015,552,324
2016,598,306
2017,638,321
2018,643,292
2019,705,292
2020,734,337
2021,788,276
2022,903,358
2023,880,372
