Year,In percent
1990,15.8336320820166
1991,16.1370315958554
1992,16.1074133201982
1993,16.9288181206542
1994,17.2206613122683
1995,16.6858080785136
1996,15.8442076248426
1997,16.4504231679515
1998,16.0890667725785
1999,17.3619537675371
2000,16.9685514274706
2001,17.7115748322625
2002,17.3992398997156
2003,17.4564481608402
2004,17.5962858488483
2005,16.7135948734524
2006,16.9947798802686
2007,18.7092018898757
2008,18.9509502007406
2009,19.3723959998991
2010,19.8716413201798
2011,19.3962945176475
2012,21.2749317507006
2013,21.4619505514027
2014,21.744849683525
2015,23.3068689573774
2016,22.5907297317976
2017,22.9577738873718
2018,23.6866662959019
2019,24.3085490848061
2020,27.2883416277579
2021,28.0059645064427
2022,25.729160029296
2023,27.9958129371888
