Year,In percent
1995,24.6550730526639
1996,24.2322125704782
1997,24.6856461872795
1998,25.9143990021021
1999,26.231852868764
2000,26.4384326498806
2001,25.6583170732557
2002,25.9471201856558
2003,25.8307747621751
2004,26.5402322013311
2005,26.6819769338276
2006,26.8183299307151
2007,27.102490086567
2008,26.477323597716
2009,25.1925947331632
2010,25.2808039478346
2011,25.533225779732
2012,26.4372132147976
2013,26.2621882093986
2014,26.28964424748
2015,26.4112041843016
2016,26.5586728368126
2017,27.1285508752359
2018,26.5820078084979
2019,26.5179492640464
2020,26.7346864547826
2021,26.0038215797748
2022,25.2132988817752
2023,25.0704640919342
