Year,In percent
1990,15.93
1991,16.85
1992,18.42
1993,19.83
1994,20.1
1995,20.51
1996,21.14
1997,21.95
1998,21.91
1999,21.97
2000,21.42
2001,21.86
2002,23
2003,23.86
2004,23.95
2005,23.79
2006,22.9
2007,22.23
2008,21.75
2009,23.66
2010,23.32
2011,23.35
2012,23.78
2013,24.39
2014,24.48
2015,25.19
2016,25.58
2017,25.92
2018,25.41
2019,25.98
2020,29.65
2021,27.92
2022,26.66
2023,26.93
