Year,Data
1969,18.2
1970,19.5
1971,19.4
1972,20.3
1973,19.5
1974,21.1
1975,23
1976,22.3
1977,24
1978,23.9
1979,24.4
1980,24.9
1981,23
1982,23.7
1983,24.3
1984,23.6
1985,23.7
1986,21.4
1987,22.3
1988,20.7
1989,20.9
1990,20.1
1991,20.7
1992,19.1
1993,18.8
1994,19.6
1995,18.5
1996,18.6
1997,17.1
1998,17.1
1999,15.7
2000,16.3
2001,15.1
2002,16.3
2003,13.3
2004,13.6
2005,13.3
2006,13
2007,13
2008,12.2
2009,12.5
2010,11.1
2011,11.2
2012,11.1
2013,11.2
2014,10.5
2015,11
2016,10.2
2017,10.4
2018,9.9
2019,9.8
2020,9.4
2021,9.6
2022,8.9
