Year,Women,Men
1969,9.9,27.5
1970,10.3,29.9
1971,11.6,28.3
1972,11.4,30.5
1973,10.9,29.4
1974,12.4,31.2
1975,12.7,34.5
1976,12.4,33.6
1977,14,35.2
1978,13.9,35.1
1979,15,34.9
1980,14.4,36.8
1981,13.7,33.6
1982,13.9,34.6
1983,13.1,36.4
1984,13.2,35.1
1985,14.3,34.3
1986,12.3,31.6
1987,12,33.7
1988,11.5,30.8
1989,12,31
1990,11.5,29.9
1991,10.4,32.3
1992,9.7,29.5
1993,10.3,28.3
1994,10.9,29.6
1995,10.1,28.1
1996,10.3,27.8
1997,8.8,26.2
1998,8.2,26.8
1999,8.1,24.1
2000,8.5,24.8
2001,7.6,23.5
2002,9.3,24.2
2003,7.3,20
2004,8,19.9
2005,7,20.1
2006,7.6,18.9
2007,7.1,19.6
2008,7,17.8
2009,6.2,19.3
2010,6.2,16.5
2011,5.8,17
2012,6,16.6
2013,6,16.9
2014,5.6,15.8
2015,5.7,16.6
2016,5.2,15.5
2017,5.6,15.6
2018,5.7,14.3
2019,5.3,14.6
2020,5.4,13.7
2021,5.5,13.9
2022,5.1,13
