Year,Women,Men
2009,64,30
2010,74,27
2011,76,34
2012,67,39
2013,68,27
2014,61,38
2015,69,36
2016,77,26
2017,65,28
2018,64,28
2019,78,35
2020,99,42
2021,63,22
2022,74,44
2023,85,38
