Year,Women,Men
1990,2846.2,6144.8
1991,2883.6,6272.8
1992,2773.5,5997.9
1993,2819.5,5726
1994,2744.9,5738.5
1995,2709.4,5524
1996,2530.479,5059.712
1997,2489.5,4883.9
1998,2326.7,4767.4
1999,2353.2,4447.6
2000,2270.9,4474.1
2001,2212.1,4255.1
2002,2213.9,4102.5
2003,2091.8,3955.9
2004,2059.4,3819.1
2005,1975.7,3678
2006,1973.6,3492.4
2007,1902.9,3382.3
2008,1782.7,3256.5
2009,1762.2,3243.9
2010,1732.7,2964.2
2011,1688.6,2930.5
2012,1616.8,2838.1
2013,1575.2,2824
2014,1516.6,2634.9
2015,1521,2702.5
2016,1506,2444
2017,1412.4,2561.9
2018,1508.3,2501
2019,1361.3,2353.5
2020,1402.1,2488.9
2021,1379.8,2461
2022,1421.5,2417.4
