Year,In percent,95% Confidence interval (+/-)
2007,50.3643,5.400933
2008,50.46,5.818808
2009,49.1428,5.557703
2010,50.0848,5.339502
2011,59.0772,5.423537
2012,53.362,5.88572
2013,53.1822,6.2031045
2014,47.0439,7.6667845
2015,42.0077,7.0737335
2016,44.9134640403981,6.62885460115671
2017,43.3405011407171,6.46193853532172
2018,38.8452000213602,7.4051324684878
2019,39.2862666760163,6.96194311470809
2020,40.6658433242828,6.8184974077292
2021,42.2,6.9
