Year,Data,95% Confidence interval (+/-)
2000,4.1993663682,0.322931004191878
2001,3.5591244791,0.239293706178636
2002,3.8270727628,0.231599533556501
2003,3.5890692835,0.190198953499006
2004,3.796141906,0.243202424132998
2005,3.8776241818,0.276905930970112
2006,4.0229109964,0.353648709275391
2007,4.4734289741,0.402373573861784
2008,4.0911244659,0.276358911943508
2009,4.0016843495,0.415575183243954
2010,4.2641467004,0.641606282228006
2011,3.9951286965,0.380486510794649
2012,4.3890974063,0.538599048144704
2013,4.5198528001,0.47964904413907
2014,4.3691723603,0.421805001544113
2015,4.777053609,0.646800431684444
2016,4.4472531134,0.488622194555131
2017,4.6535417794,0.513897618285922
2018,4.55198171,0.441661422976929
2019,5.2580507875,0.683829669035451
2020,4.582747114,0.402092443207957
2021,4.2970384765,0.326576778972646
