Year,In percent
2000,5
2001,5.52
2002,5.52
2003,5.59
2004,5.63
2005,5.63
2006,5.63
2007,5.67
2008,5.67
2009,5.73
2010,6.22
2011,6.22
2012,6.23
2013,6.23
2014,6.23
2015,6.24
2016,6.25
2017,6.6
2018,6.6
2019,6.6
2020,6.6
2021,6.712
2022,6.712
2023,6.712
