Year,In percent,95% Confidence interval (+/-)
2007,9.297,0.843
2008,8.247,0.746
2009,8.107,0.714
2010,7.922,0.715
2011,7.423,0.729
2012,7.662,0.722
2013,5.883,0.642
2014,6.664,0.551
2015,7.049,0.572
2016,7.511,0.606
2017,8.157,0.598
2018,7.875,0.744
2019,8.741,0.671
2020,8.532,0.686
2021,8.736364,0.670962
2022,8.15537,0.697334
