Year,Data
1946,6
1947,7
1948,1
1949,4
1950,5
1951,106
1952,15
1953,6
1954,30
1955,5
1956,9
1957,13
1958,7
1959,10
1960,11
1961,16
1962,13
1963,12
1964,9
1965,14
1966,17
1967,13
1968,38
1969,7
1970,45
1971,7
1972,3
1973,8
1974,2
1975,16
1976,3
1977,9
1978,21
1979,6
1980,6
1981,9
1982,2
1983,1
1984,16
1985,15
1986,8
1987,9
1988,4
1989,1
1990,5
1991,5
1992,8
1993,8
1994,2
1995,2
1996,1
1997,2
1998,4
1999,22
2000,21
2001,2
2002,4
2003,4
2004,1
2005,8
2006,6
2007,4
2008,2
2009,2
2010,0
2011,3
2012,6
2013,4
2014,6
2015,2
2016,2
2017,8
2018,1
2019,7
2020,1
2021,1
2022,0
2023,0
